url,min
https://www.youtube.com/watch?v=ibpP7w5MY_o,0
https://www.youtube.com/watch?v=ZesVTSG-z_4,0
https://www.youtube.com/watch?v=69oBaY-PBOY,0
https://www.youtube.com/watch?v=fAM-llmD7ZY,0
https://www.youtube.com/watch?v=OSa2NBaFbZk,0
https://www.youtube.com/watch?v=LwBcZeaLx5c,0
https://www.youtube.com/watch?v=HTx-MIgz0-s,0
https://www.youtube.com/watch?v=S8ht0tjOois,0
https://www.youtube.com/watch?v=6qWMVkDhe4I,0
https://www.youtube.com/watch?v=xC7yZSD6dgs,0
https://www.youtube.com/watch?v=t4j8JWKGjVY,0
https://www.youtube.com/watch?v=D-6bos_17e4,0
https://www.youtube.com/watch?v=H93lU-czGvw,0
https://www.youtube.com/watch?v=OxKRJkaEtJc,0
https://www.youtube.com/watch?v=-9EJgYVyKWc,0
https://www.youtube.com/watch?v=Q7PhF7cxvVc,0
https://www.youtube.com/watch?v=eExl2KCQRp8,0
https://www.youtube.com/watch?v=LZ44cMkS0bA,0
https://www.youtube.com/watch?v=tW7w0m6_-pU,0
https://www.youtube.com/watch?v=G356vjZkYuo,0
https://www.youtube.com/watch?v=amTmnnqQf_E,0
https://www.youtube.com/watch?v=KoL-_XwBYuQ,0
https://www.youtube.com/watch?v=tKiscvf28kE,0
https://www.youtube.com/watch?v=WXdUZcfpb_c,0
https://www.youtube.com/watch?v=cIO77ofipoo,0
https://www.youtube.com/watch?v=PtRtvLYRGtk,1
https://www.youtube.com/watch?v=LrM62pv56o0,1
https://www.youtube.com/watch?v=7e7EKdQG9ok,1
https://www.youtube.com/watch?v=5YVuqYaNyCo,1
https://www.youtube.com/watch?v=G_oJWzl3-g0,1
https://www.youtube.com/watch?v=0r1PiebhM2c,1
https://www.youtube.com/watch?v=N5YSbaUl9Y4,2
https://www.youtube.com/watch?v=hxOApe1P9dM,2
https://www.youtube.com/watch?v=AIIj0mBX1jU,2
https://www.youtube.com/watch?v=b0NHrFNZWh0,2
https://www.youtube.com/watch?v=drkOBuiGPCM,2
https://www.youtube.com/watch?v=-MZy8FqUw9c,2
https://www.youtube.com/watch?v=OzKY5YHnOTg,2
https://www.youtube.com/watch?v=9mmF8zOlh_g,2
https://www.youtube.com/watch?v=020g-0hhCAU,2
https://www.youtube.com/watch?v=SEhRdrz4irk,2
https://www.youtube.com/watch?v=LJy82OLdlwQ,2
https://www.youtube.com/watch?v=8y2mgyI6kus,2
https://www.youtube.com/watch?v=me_zknSlFUc,2
https://www.youtube.com/watch?v=MDJTLL9Tl5U,2
https://www.youtube.com/watch?v=Kxhn8UBJ4nM,2
https://www.youtube.com/watch?v=prCvGKoybNE,2
https://www.youtube.com/watch?v=LUvBx-ErXa0,2
https://www.youtube.com/watch?v=e_04ZrNroTo,3
https://www.youtube.com/watch?v=9uTBSRUIVLI,3
https://www.youtube.com/watch?v=l_qyieStjMI,3
https://www.youtube.com/watch?v=ml4hh5Id8HM,3
https://www.youtube.com/watch?v=jGF5UjX8Ch8,3
https://www.youtube.com/watch?v=V98hk-1ZaYU,3
https://www.youtube.com/watch?v=QNw8MlFaT3k,3
